"SHIPPOP Parcel information","รายละเอียดพัสดุ SHIPPOP"
"Access Denied","Access Denied"
"Booking confirmed and Payment completed","ยืนยันการจองและชำระเงินสำเร็จ"
"Please print waybill","กรุณาพิมพ์ใบปะหน้า"
"Thank you for your interest in SHIPPOP service. We already received your information","ขอบคุณที่สนใจใช้บริการ SHIPPOP ทางเราได้รับข้อมูลของคุณแล้ว"
"Our team will contact you within 1-2 business days","กรุณารอพนักงานติดต่อกลับ ภายใน 1-2 วันทำการ"
"Information updated","บันทึกข้อมูลเรียบร้อย"
"Information can't update","ไม่สามารถบันทึกข้อมูลได้"
Success,สำเร็จ
Notice,แจ้งเตือน
Error,พบข้อผิดพลาด
"Choose courier","เลือกขนส่ง"
"Parcel list","รายการจัดส่งพัสดุ"
Order,คำสั่งซื้อ
"SHIPPIP's tracking number","หมายเลขรายการ"
"Courier's tracking number","หมายเลขพัสดุจากขนส่ง"
"Delivery date","วันที่จัดส่ง"
"Date of delivery completion","วันที่ส่งสำเร็จ"
Status,สถานะ
"Receiver name","ชื่อผู้รับ"
"COD transfer date","วันที่โอนคืน"
"COD amount","ยอดเก็บเงิน"
Fee,ค่าธรรมเนียม
"Transferring amount","ยอดโอนคืน"
"Billing ID","เลขที่ใบเสร็จ"
"Transferring status","สถานะโอนคืน"
"Filter Type","ประเภทการค้นหา"
Login,เข้าสู่ระบบ
"COD Report","รายงาน COD"
Settings,ตั้งค่า
"Can't connect. Please try again later","ไม่สามารถใช้งานได้ กรุณาลองใหม่อีกครั้ง"
"Shipping address's incorrect. Please edit shipping address again","ที่อยู่ไม่ถูกต้อง กรุณาตรวจสอบและแก้ไขข้อมูลที่อยู่ใหม่"
"Can't download waybill. Please try again later","ไม่สามารถดาวโหลดใบปะหน้าได้ กรุณาลองใหม่อีกครั้ง"
"Incorrect address","ที่อยู่ไม่ถูกต้อง"
"Deliver to Drop Off point yourself","นำไปส่งที่จุด Drop Off"
"Pick-up service","เข้ารับที่หน้าบ้าน"
"You can't create an shipment.","ไม่สามารถสร้างรายการขนส่งได้"
"Could not save the data: %1","Could not save the data: %1"
"Requested data doesn't exist","Requested data doesn't exist"
"Unable to remove data %1","Unable to remove data %1"
